user_id,avg_posts_per_day,posting_time_std,engagement_burst_score,followers_following_ratio,avg_comment_length,unique_words_ratio,account_age_days,profile_completeness,night_activity_ratio,label,bot_probability,authenticity_score,risk_label
USER_221,4.580529629519413,4.162529961039156,0.0083736471306933,2.7007178020217744,19.21243257863371,0.6215622652113344,2785,0.7010344026738897,0.1772615768922775,0,0.52,48.0,Suspicious
USER_437,2.847996448361198,7.477814240659193,0.1680044017182651,1.893612699973351,18.125553264872813,0.6670523260432817,2358,0.8853286918005089,0.2410625330479283,0,0.5,50.0,Suspicious
USER_440,3.587154984075251,6.455279063696309,0.3216662259935536,3.921800302793672,53.18948114825017,0.5042477893036048,359,0.7130163454649774,0.1310331507969959,0,0.52,48.0,Suspicious
USER_360,7.609995388680323,3.557964999786237,0.1591173763716392,0.8843136357322474,45.969407778741015,0.9844721985871456,1199,0.8988898580354348,0.2926581987062705,0,0.41,59.00000000000001,Suspicious
USER_111,4.582047636590525,7.185598139153261,0.3168764779206705,2.95049896094604,36.43536599420263,0.5529025124282572,1617,0.6910135507745854,0.2891452983564541,0,0.52,48.0,Suspicious
USER_378,8.200031335873133,5.623678188307161,0.2165080443766712,0.7373477847299783,43.14298938173329,0.6494630750491666,922,0.6196643316620193,0.136344819886607,0,0.63,37.0,Suspicious
USER_326,1.3818006838620254,4.037704681028517,0.0865331110523308,4.65171690692281,32.778339099505445,0.7647668075112287,1901,0.629298241642956,0.2557316656925619,0,0.43,57.00000000000001,Suspicious
USER_213,7.559752980429522,7.865383989561492,0.1459289880831194,2.592663503994095,31.902203795269187,0.975372356606336,1905,0.7574727543962452,0.0457974493622351,0,0.54,46.0,Suspicious
USER_559,2.4354303628722245,3.784063526584029,0.0956265536300118,1.840367292755951,50.25596043773324,0.623174123621151,2300,0.9290591708775556,0.1410972143811619,0,0.5,50.0,Suspicious
BOT_136,127.81859326150492,0.2382497120919677,0.8177335322267906,0.1085637394927391,2.7958820583623063,0.1098973873713962,66,0.4312997009748873,0.7369791915338854,1,0.82,18.000000000000004,Bot
USER_511,7.594601273075487,4.04529686853423,0.324064435983881,2.299923582321058,22.272723126946524,0.9091803206976083,1897,0.8767455632643377,0.2662689215448574,0,0.41,59.00000000000001,Suspicious
BOT_76,165.69055200289188,1.7052630908419637,0.7336116706504157,0.1825725999030739,3.178405142762747,0.0535457879069504,175,0.2521680030030249,0.8753620073968547,1,0.82,18.000000000000004,Bot
USER_336,9.396323763127048,7.997788516252193,0.2525835170332082,2.836907116890364,44.33393058620647,0.7758439839032308,251,0.9111510822147508,0.070018880837438,0,0.3,70.0,Organic
USER_673,4.490434809252381,3.4768046063650178,0.0557016283138815,2.504830165219225,47.9760074358472,0.9693596509889316,2870,0.6417921267015833,0.1720204877693111,0,0.54,46.0,Suspicious
USER_638,2.0385517796102564,7.174736028472019,0.2869859962447649,4.9793968081645525,57.51396118057036,0.7789395917889428,640,0.8393224302784075,0.1662509164833,0,0.3,70.0,Organic
